hrvw 害人之心不可有，防人之心不可无
bfzl 不放在眼里
bgdj 半个多世纪
bhyu 不好意思说
bivt 不吃这一套
bjbu; 八九不离十
bjly 病急乱投医
bjmd 不结盟运动
bjuq 杯酒释兵权
bkxw 不可信其无
blrd 病来如山倒
blvt 别来这一套
bnsy 饱暖思淫欲
bpbh 不怕不识货
bpmu 不怕没柴烧
btiu 不同程度上
btly 不听老人言
buhx 不识好人心
buid 不是吃素的
bvih 扮猪吃老虎
bvvz 不知者不罪
bvwv 不知为不知
bwyg 霸王硬上弓
bxlq 必先利其器
bzij 不在场证据
bzku 不做亏心事
bzmp 八字没一撇
bzwu 包在我身上
cjtu 从今天开始
cmqk 从目前来看
cmtu 从明天开始
cxzu 从现在开始
dbzl 蹬鼻子上脸
dclp 打错了算盘
debx 大恩不言谢
dfhy 洞房花烛夜
dfvi 豆腐渣工程
dgmk 当刮目相看
dhqd 打虎亲兄弟
dlbr 得理不饶人
dmbl 独木不成林
dmnp 多米诺骨牌
dmqv 到目前为止
dpyg 得便宜卖乖
drbl 打人不打脸
dryl 大人有大量
dubr 对事不对人
dubt 大事不糊涂
dvfr 洞中方一日
dxbu 大学毕业生
dxzv 到现在为止
dydy 大眼瞪小眼
dyiy 大鱼吃小鱼
dyuv 大意失荆州
dyyu 大隐隐于市
dzfl 弟子服其劳
edbn 儿大不由娘
egeu 恩格尔系数
elty 厄立特里亚
erxv 恶人先告状
esdd 饿死胆小的
eusu 二十四小时
euyj 二十一世纪
exdu 恶向胆边生
eytw 二一添作五
fbie 法不传六耳
fgby 富贵不能淫
fhyr; 防患于未然
fiwl 覆巢无完卵
flbh 费力不讨好
flbr 翻脸不认人
fulv 风水轮流转
fvfv 非政府组织
fvvj 发展中国家
fxhf 福兮祸所伏
fyrg 非一日之功
fyrh 非一日之寒
gdzi; 功到自然成
ghru 隔行如隔山
gibh 高处不胜寒
gjaj 国家安全局
glbl 给脸不要脸
gnby 敢怒不敢言
gqbh 顾前不顾后
grdu 贵人多忘事
grsu 个人所得税
gsdj 哥斯达黎加
gtbw 顾头不顾尾
gugl 公说公有理
guyl 更上一层楼
